#id,username,repository,committers,authors,age_days,commits,files,main_lang,number_langs,bytes_main_lang,bytes_total,major_contrib,number_contribs,commits_major_contrib,commits_total,main_uml_author,number_uml_authors,changes_by_main_uml_author,total_uml_changes
841,RabbitKiss,eXceedVote,1,1,1281,12,72,None,None,None,None,6673,1,12,12,6673,1,1,1
842,jmbruel,ACSI,2,2,1328,39,907,None,None,None,None,6674,2,35,39,6674,1,2,2
843,moversti,Ristinolla-OhHa,2,2,1309,45,35,None,None,None,None,6677,2,44,45,6677,1,1,1
844,pyryk,mobiilinoppa,3,3,1482,102,4280,None,None,None,None,6678,3,41,102,6678,2,1,2
845,dsheiko,HTML5-Form-Shim,7,7,1527,118,187,None,None,None,None,6682,7,97,118,6682,1,3,3
846,itu-cstp,BDSAMcGyvers,4,4,1309,72,370,None,None,None,None,6691,4,27,72,6688,1,1,1
847,lmucs,wutup,17,17,1313,722,528,None,None,None,None,6695,17,131,722,6695,1,2,2
848,tonyrog,canopen,5,5,2115,241,176,None,None,None,None,6713,5,109,241,6713,1,5,5
849,melexis,activiti,27,27,2118,2743,51875,None,None,None,None,5097,27,696,2743,5098,1,1,1
850,timcrider,IPLocker,1,1,1296,9,1750,None,None,None,None,6715,1,9,9,6715,1,2,2
851,lvklabs,chatbot,4,4,1516,1020,1584,None,None,None,None,6716,4,636,1020,6716,2,11,17
852,hatlessman,A3Billing,1,1,1295,3,3065,None,None,None,None,6720,1,3,3,6720,1,1,1
853,sylzys,cesi_komodo,12,12,1293,533,12613,None,None,None,None,6721,12,159,533,6721,2,2,3
854,ButterFree,TeX,5,5,1288,45,50,None,None,None,None,6735,5,39,45,6735,2,5,6
855,mvolkmann,VMap,1,1,1883,14,58,None,None,None,None,6738,1,14,14,6738,1,1,1
856,ig2gi,philo_graph,2,2,1298,17,162,None,None,None,None,6740,2,14,17,6740,1,2,2
857,Jummartinezro,encoming,1,1,1283,1,33,None,None,None,None,6741,1,1,1,6741,1,1,1
858,haiku,buildtools,32,37,4176,515,125917,None,None,None,None,6742,37,164,515,6759,1,12,12
